# How to read a genus, for scripts/frdbi_gap.py.
#
# FRDBI records what a fungus was found ON as well as the fungus, so a ranking
# taken from it raw is led by beech, oak and the grasses. It also holds
# thousands of records for leaf spots, mildews and rusts that are real fungi
# and are nothing a flow built around caps, gills and spore prints can ask
# about. Classifying at genus rather than species keeps this auditable: 186
# genera cover the top 300 taxa, and a genus is a judgement somebody can check.
#
#   fungus       a macrofungus somebody would photograph on a walk
#   slime-mould  not a fungus at all, and photographed anyway -- see the script
#   lichen       a lichen -- a fungus with no cap, gills or spore print, so
#                the flow has nothing to ask it; an out-of-scope negative
#   micro        leaf spot, mildew, rust, or a cup a few millimetres across
#   host         plant, animal or higher taxon; FRDBI records associations
#
# Every genus the label space already holds is in here as `fungus`, however
# rare it is in FRDBI. A genus counted as nothing is a genus whose species can
# never show up as covered, and the genera this app most needs to get right --
# Omphalotus, Gyromitra, Galerina -- are exactly the uncommon ones. A test
# derives that requirement from the taxonomy rather than from this comment.
#
# UNREVIEWED, like everything else compiled here.
genus,kind
Lichenomphalia,fungus
Morchella,fungus
Mutinus,fungus
Neobulgaria,fungus
Omphalotus,fungus
Phaeotremella,fungus
Pleurocybella,fungus
Pseudoclitocybe,fungus
Rubroboletus,fungus
Rugosomyces,fungus
Sparassis,fungus
Tylopilus,fungus
Verpa,fungus
Volvopluteus,fungus
Agrocybe,fungus
Aleuria,fungus
Alnicola,fungus
Botryobasidium,fungus
Bovista,fungus
Clavaria,fungus
Coniophora,fungus
Conocybe,fungus
Cortinarius,fungus
Daedalea,fungus
Deconica,fungus
Galerina,fungus
Geastrum,fungus
Geoglossum,fungus
Hemimycena,fungus
Hygrophorus,fungus
Inonotus,fungus
Inosperma,fungus
Lactifluus,fungus
Lyophyllum,fungus
Melanoleuca,fungus
Otidea,fungus
Peziza,fungus
Pholiotina,fungus
Porpolomopsis,fungus
Pseudosperma,fungus
Sarcoscypha,fungus
Skeletocutis,fungus
Thelephora,fungus
Trechispora,fungus
Typhula,fungus
Agaricus,fungus
Amanita,fungus
Ampulloclitocybe,fungus
Apioperdon,fungus
Armillaria,fungus
Ascocoryne,fungus
Atheniella,fungus
Auricularia,fungus
Bjerkandera,fungus
Bolbitius,fungus
Boletus,fungus
Bulgaria,fungus
Byssomerulius,fungus
Calocera,fungus
Calocybe,fungus
Cantharellus,fungus
Chalciporus,fungus
Chlorociboria,fungus
Chlorophyllum,fungus
Chondrostereum,fungus
Clavulina,fungus
Clavulinopsis,fungus
Clitocybe,fungus
Clitopilus,fungus
Collybia,fungus
Collybiopsis,fungus
Coprinellus,fungus
Coprinopsis,fungus
Coprinus,fungus
Crepidotus,fungus
Cuphophyllus,fungus
Cystoderma,fungus
Dacrymyces,fungus
Daedaleopsis,fungus
Daldinia,fungus
Datronia,fungus
Entoloma,fungus
Exidia,fungus
Fistulina,fungus
Flammulina,fungus
Fomes,fungus
Fomitopsis,fungus
Fuscoporia,fungus
Ganoderma,fungus
Gliophorus,fungus
Gymnopilus,fungus
Gymnopus,fungus
Hebeloma,fungus
Helvella,fungus
Heterobasidion,fungus
Hydnoporia,fungus
Hydnum,fungus
Hygrocybe,fungus
Hygrophoropsis,fungus
Hymenochaete,fungus
Hymenopellis,fungus
Hypholoma,fungus
Hypoxylon,fungus
Imleria,fungus
Infundibulicybe,fungus
Inocybe,fungus
Jackrogersella,fungus
Kretzschmaria,fungus
Kuehneromyces,fungus
Laccaria,fungus
Lacrymaria,fungus
Lactarius,fungus
Laetiporus,fungus
Leccinum,fungus
Leotia,fungus
Lepiota,fungus
Lycoperdon,fungus
Macrolepiota,fungus
Marasmius,fungus
Megacollybia,fungus
Mensularia,fungus
Meripilus,fungus
Mucidula,fungus
Mycena,fungus
Neoboletus,fungus
Panaeolina,fungus
Panaeolus,fungus
Panellus,fungus
Paralepista,fungus
Parasola,fungus
Paxillus,fungus
Peniophora,fungus
Phaeolus,fungus
Phallus,fungus
Phlebia,fungus
Phloeomana,fungus
Pholiota,fungus
Pleurotus,fungus
Pluteus,fungus
Polyporus,fungus
Postia,fungus
Psathyrella,fungus
Psilocybe,fungus
Rhodocollybia,fungus
Rickenella,fungus
Russula,fungus
Schizopora,fungus
Scleroderma,fungus
Scutellinia,fungus
Stereum,fungus
Stropharia,fungus
Suillus,fungus
Trametes,fungus
Tremella,fungus
Trichaptum,fungus
Tricholoma,fungus
Tricholomopsis,fungus
Tubaria,fungus
Vuilleminia,fungus
Xerocomellus,fungus
Xerocomus,fungus
Xylaria,fungus
Xylodon,fungus
