rank,records,scientific_name,common_name,in_label_space,toxicity,genus,dangerous_already_in_genus,confusion_note,REVIEW_verdict,REVIEW_notes,REVIEWER
38,6555,Hygrophoropsis aurantiaca,False Chanterelle,yes,TOXIC,Hygrophoropsis,,,,,
39,6498,Collybiopsis peronata,Wood Woollyfoot,yes,TOXIC,Collybiopsis,,,,,
40,6425,Ganoderma adspersum,Southern Bracket,yes,NO_RECORDED_TOXICITY,Ganoderma,,,,,
41,6420,Leccinum scabrum,Brown Birch Bolete,yes,NO_RECORDED_TOXICITY,Leccinum,,,,,
42,6354,Collybia nuda,Wood Blewit,yes,TOXIC,Collybia,,,,,
43,6328,Russula cyanoxantha,Charcoal Burner,yes,NO_RECORDED_TOXICITY,Russula,,,,,
44,6092,Tubaria furfuracea,Scurfy Twiglet,yes,NO_RECORDED_TOXICITY,Tubaria,,,,,
45,6068,Calocera viscosa,Yellow Stagshorn,yes,NO_RECORDED_TOXICITY,Calocera,,,,,
46,6018,Schizopora paradoxa,Split Porecrust,yes,NO_RECORDED_TOXICITY,Schizopora,,,,,
47,5778,Amanita citrina,False Deathcap,yes,NO_RECORDED_TOXICITY,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
48,5734,Russula atropurpurea,Purple Brittlegill,yes,NO_RECORDED_TOXICITY,Russula,,,,,
49,5706,Jackrogersella multiformis,Birch Woodwart,yes,NO_RECORDED_TOXICITY,Jackrogersella,,,,,
50,5675,Hypoxylon fuscum,Hazel Woodwart,yes,NO_RECORDED_TOXICITY,Hypoxylon,,,,,
51,5648,Imleria badia,Bay Bolete,yes,NO_RECORDED_TOXICITY,Imleria,,,,,
52,5606,Hypoxylon fragiforme,Beech Woodwart,yes,NO_RECORDED_TOXICITY,Hypoxylon,,,,,
53,5594,Tremella mesenterica,Yellow Brain,yes,NO_RECORDED_TOXICITY,Tremella,,,,,
54,5543,Cantharellus cibarius,Chanterelle; Girolle,yes,NO_RECORDED_TOXICITY,Cantharellus,,,,,
55,5480,Lactarius tabidus,Birch Milkcap,yes,NO_RECORDED_TOXICITY,Lactarius,,,,,
56,5379,Amanita fulva,Tawny Grisette,yes,TOXIC,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
57,5306,Inocybe geophylla,White Fibrecap,yes,SERIOUS,Inocybe,Inocybe erubescens; Inocybe geophylla; Inocybe lilacina,"white Inocybe -- muscarine, and mistaken for small field species",,,
58,5290,Hygrocybe chlorophana,Golden Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
59,5281,Gymnopilus penetrans,Common Rustgill,yes,NO_RECORDED_TOXICITY,Gymnopilus,,"orange, clustered, on conifer wood -- the Galerina situation again",,,
60,5265,Boletus edulis,Penny Bun; Cep; Porcini,yes,NO_RECORDED_TOXICITY,Boletus,,,,,
61,5219,Hymenopellis radicata,Rooting Shank,yes,NO_RECORDED_TOXICITY,Hymenopellis,,,,,
62,5172,Rickenella fibula,Orange Mosscap,yes,NO_RECORDED_TOXICITY,Rickenella,,,,,
63,5056,Mycena vitilis,Snapping Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
64,4954,Hygrocybe coccinea,Scarlet Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
65,4936,Paralepista flaccida,Tawny Funnel,yes,TOXIC,Paralepista,,,,,
66,4918,Collybiopsis confluens,Clustered Toughshank,yes,NO_RECORDED_TOXICITY,Collybiopsis,,,,,
67,4913,Chlorociboria aeruginascens,Green Elfcup,yes,NO_RECORDED_TOXICITY,Chlorociboria,,,,,
68,4910,Lactarius turpis,Ugly Milkcap,yes,TOXIC,Lactarius,,,,,
69,4888,Tricholomopsis rutilans,Plums and Custard,yes,NO_RECORDED_TOXICITY,Tricholomopsis,,,,,
70,4847,Flammulina velutipes,Velvet Shank,yes,NO_RECORDED_TOXICITY,Flammulina,,"clustered on wood in winter, when Galerina also fruits",,,
71,4801,Bolbitius titubans,Yellow Fieldcap,yes,NO_RECORDED_TOXICITY,Bolbitius,,,,,
72,4782,Crepidotus variabilis,Variable Oysterling,yes,NO_RECORDED_TOXICITY,Crepidotus,,,,,
73,4778,Lactarius blennius,Beech Milkcap,yes,TOXIC,Lactarius,,,,,
74,4755,Polyporus squamosus,Dryad's Saddle; Pheasant's Back,yes,NO_RECORDED_TOXICITY,Polyporus,,,,,
75,4707,Heterobasidion annosum,Root Rot,yes,NO_RECORDED_TOXICITY,Heterobasidion,,,,,
76,4699,Coprinus comatus,Shaggy Inkcap; Lawyer's Wig,yes,NO_RECORDED_TOXICITY,Coprinus,,,,,
77,4649,Cystoderma amianthinum,Earthy Powdercap,yes,NO_RECORDED_TOXICITY,Cystoderma,,granular Lepiota-like cap,,,
78,4566,Psathyrella candolleana,Pale Brittlestem,yes,NO_RECORDED_TOXICITY,Psathyrella,,"clustered, pale, on buried wood",,,
79,4526,Lactarius subdulcis,Mild Milkcap,yes,NO_RECORDED_TOXICITY,Lactarius,,,,,
80,4490,Clitocybe fragrans,Fragrant Funnel,yes,TOXIC,Clitocybe,Clitocybe dealbata; Clitocybe rivulosa,a small white Clitocybe; the muscarine species are small white Clitocybes,,,
81,4463,Clitopilus prunulus,The Miller,yes,NO_RECORDED_TOXICITY,Clitopilus,,,,,
82,4391,Stropharia semiglobata,Dung Roundhead,yes,TOXIC,Stropharia,,"dung, small, slimy, and Panaeolus territory",,,
83,4386,Rhodocollybia maculata,Spotted Toughshank,yes,TOXIC,Rhodocollybia,,,,,
84,4365,Xylaria polymorpha,Dead Man's Fingers,yes,NO_RECORDED_TOXICITY,Xylaria,,,,,
85,4348,Mycena inclinata,Clustered Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
86,4336,Psathyrella piluliformis,Common Stump Brittlestem,yes,NO_RECORDED_TOXICITY,Psathyrella,,"clustered on stumps, beside Hypholoma and Galerina",,,
87,4307,Calocera cornea,Small Stagshorn,yes,NO_RECORDED_TOXICITY,Calocera,,,,,
88,4296,Russula nobilis,Beechwood Sickener,yes,TOXIC,Russula,,,,,
89,4201,Marasmius rotula,Collared Parachute,yes,NO_RECORDED_TOXICITY,Marasmius,,,,,
90,4169,Polyporus leptocephalus,Blackfoot Polypore,yes,NO_RECORDED_TOXICITY,Polyporus,,,,,
91,4164,Mycena arcangeliana,Angel's Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
92,4148,Parasola plicatilis,Pleated Inkcap,yes,NO_RECORDED_TOXICITY,Parasola,,,,,
93,4107,Collybiopsis ramealis,Twig Parachute,yes,NO_RECORDED_TOXICITY,Collybiopsis,,,,,
94,4089,Lepiota cristata,Stinking Dapperling,yes,TOXIC,Lepiota,Lepiota brunneoincarnata; Lepiota subincarnata,,,,
95,4040,Entoloma conferendum,Star Pinkgill,yes,TOXIC,Entoloma,Entoloma rhodopolium; Entoloma sinuatum,"pink-spored Entoloma; the genus holds E. sinuatum, already known and SERIOUS",,,
96,4019,Marasmius oreades,Fairy Ring Champignon,yes,NO_RECORDED_TOXICITY,Marasmius,,,,,
97,4015,Coprinopsis atramentaria,Common Inkcap,yes,TOXIC,Coprinopsis,,,,,
98,4014,Pleurotus ostreatus,Oyster Mushroom,yes,NO_RECORDED_TOXICITY,Pleurotus,,,,,
99,4011,Chlorophyllum rhacodes,Shaggy Parasol,yes,TOXIC,Chlorophyllum,,"shaggy parasol; confused with C. brunneum, already in the label space",,,
100,3998,Exidia glandulosa,Witches' Butter,yes,NO_RECORDED_TOXICITY,Exidia,,,,,
101,3977,Laetiporus sulphureus,Chicken of the Woods,yes,TOXIC,Laetiporus,,,,,
102,3963,Russula fellea,Geranium Brittlegill,yes,TOXIC,Russula,,,,,
103,3943,Mucidula mucida,Porcelain Fungus,yes,NO_RECORDED_TOXICITY,Mucidula,,,,,
104,3928,Clavulinopsis helvola,Yellow Club,yes,NO_RECORDED_TOXICITY,Clavulinopsis,,,,,
105,3890,Hebeloma crustuliniforme,Poison Pie,yes,TOXIC,Hebeloma,,poison pie -- a plain brown agaric in exactly the places beginners look,,,
106,3877,Chondrostereum purpureum,Silverleaf Fungus,yes,NO_RECORDED_TOXICITY,Chondrostereum,,,,,
107,3860,Clavulina coralloides,Crested Coral,yes,NO_RECORDED_TOXICITY,Clavulina,,,,,
108,3819,Ascocoryne sarcoides,Purple Jellydisc,yes,NO_RECORDED_TOXICITY,Ascocoryne,,,,,
109,3762,Mycena filopes,Iodine Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
110,3694,Lacrymaria lacrymabunda,Weeping Widow,yes,NO_RECORDED_TOXICITY,Lacrymaria,,"dark-gilled, clustered, in grass and paths",,,
111,3692,Xylodon sambuci,Elder Whitewash,yes,NO_RECORDED_TOXICITY,Xylodon,,,,,
112,3686,Kuehneromyces mutabilis,Sheathed Woodtuft,yes,NO_RECORDED_TOXICITY,Kuehneromyces,,,,,
113,3680,Mycena leptocephala,Nitrous Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
114,3675,Fistulina hepatica,Beefsteak Fungus,yes,NO_RECORDED_TOXICITY,Fistulina,,,,,
115,3628,Trametes gibbosa,Lumpy Bracket,yes,NO_RECORDED_TOXICITY,Trametes,,,,,
116,3623,Suillus grevillei,Larch Bolete,yes,NO_RECORDED_TOXICITY,Suillus,,,,,
117,3599,Byssomerulius corium,Netted Crust,yes,NO_RECORDED_TOXICITY,Byssomerulius,,,,,
118,3549,Mycena epipterygia,Yellowleg Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
119,3529,Russula betularum,Birch Brittlegill,yes,TOXIC,Russula,,,,,
120,3489,Hygrocybe ceracea,Butter Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
121,3485,Russula fragilis,Fragile Brittlegill,yes,TOXIC,Russula,,,,,
122,3448,Mycena haematopus,Burgundydrop Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
123,3425,Hymenochaete rubiginosa,Oak Curtain Crust,yes,NO_RECORDED_TOXICITY,Hymenochaete,,,,,
124,3414,Hydnum repandum,Hedgehog Fungus; Wood Hedgehog,yes,NO_RECORDED_TOXICITY,Hydnum,,,,,
125,3411,Trichaptum abietinum,Purplepore Bracket,yes,NO_RECORDED_TOXICITY,Trichaptum,,,,,
126,3394,Lactarius glyciosmus,Coconut Milkcap,yes,TOXIC,Lactarius,,,,,
127,3368,Coprinellus disseminatus,Fairy Inkcap,yes,NO_RECORDED_TOXICITY,Coprinellus,,,,,
128,3358,Infundibulicybe gibba,Common Funnel,yes,TOXIC,Infundibulicybe,,,,,
129,3344,Mycena polygramma,Grooved Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
130,3330,Tricholoma fulvum,Birch Knight,yes,TOXIC,Tricholoma,Tricholoma equestre; Tricholoma pardinum; Tricholoma terreum,,,,
131,3305,Panaeolus papilionaceus,Petticoat Mottlegill,yes,TOXIC,Panaeolus,,"small brown mushroom on dung, beside several Panaeolina and Psilocybe",,,
132,3293,Phloeomana speirea,Bark Bonnet,yes,NO_RECORDED_TOXICITY,Phloeomana,,,,,
133,3272,Lycoperdon nigrescens,Dusky Puffball,yes,NO_RECORDED_TOXICITY,Lycoperdon,,,,,
134,3256,Stereum gausapatum,Bleeding Oak Crust,yes,NO_RECORDED_TOXICITY,Stereum,,,,,
135,3232,Lactarius rufus,Rufous Milkcap,yes,TOXIC,Lactarius,,,,,
136,3207,Kretzschmaria deusta,Brittle Cinder,yes,NO_RECORDED_TOXICITY,Kretzschmaria,,,,,
137,3201,Gymnopus fusipes,Spindleshank,yes,NO_RECORDED_TOXICITY,Gymnopus,,,,,
138,3162,Scleroderma verrucosum,Scaly Earthball,yes,TOXIC,Scleroderma,,,,,
139,3157,Calocera pallidospathulata,Pale Stagshorn,yes,NO_RECORDED_TOXICITY,Calocera,,,,,
140,3150,Crepidotus mollis,Peeling Oysterling,yes,NO_RECORDED_TOXICITY,Crepidotus,,,,,
141,3103,Fomes fomentarius,Hoof Fungus; Tinder Fungus,yes,NO_RECORDED_TOXICITY,Fomes,,,,,
142,3088,Hygrocybe insipida,Spangle Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
143,3011,Macrolepiota procera,Parasol Mushroom,yes,NO_RECORDED_TOXICITY,Macrolepiota,,,,,
144,2976,Megacollybia platyphylla,Whitelaced Shank,yes,TOXIC,Megacollybia,,"broad, pale, on buried wood",,,
145,2975,Xerocomus subtomentosus,Suede Bolete,yes,NO_RECORDED_TOXICITY,Xerocomus,,,,,
146,2966,Meripilus giganteus,Giant Polypore,yes,NO_RECORDED_TOXICITY,Meripilus,,,,,
147,2947,Ganoderma applanatum,Artist's Bracket,yes,NO_RECORDED_TOXICITY,Ganoderma,,,,,
148,2941,Agaricus campestris,Field Mushroom,yes,NO_RECORDED_TOXICITY,Agaricus,,,,,
149,2933,Phlebia radiata,Wrinkled Crust,yes,NO_RECORDED_TOXICITY,Phlebia,,,,,
150,2912,Peniophora quercina,Oak Curtain Crust,yes,NO_RECORDED_TOXICITY,Peniophora,,,,,
151,2904,Russula vesca,The Flirt,yes,NO_RECORDED_TOXICITY,Russula,,,,,
152,2883,Inocybe lilacina,Lilac Fibrecap,yes,SERIOUS,Inocybe,Inocybe erubescens; Inocybe geophylla; Inocybe lilacina,,,,
153,2868,Hygrocybe quieta,Oily Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
154,2843,Clavulinopsis corniculata,Meadow Coral,yes,NO_RECORDED_TOXICITY,Clavulinopsis,,,,,
155,2841,Xylaria carpophila,Beechmast Candlesnuff,yes,NO_RECORDED_TOXICITY,Xylaria,,,,,
156,2825,Pholiota squarrosa,Shaggy Scalycap,yes,TOXIC,Pholiota,,,,,
157,2812,Neoboletus praestigiator,Deceiving Bolete,yes,TOXIC,Neoboletus,,,,,
158,2806,Panaeolina foenisecii,Brown Mottlegill,yes,TOXIC,Panaeolina,,,,,
159,2764,Hygrocybe punicea,Crimson Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
160,2764,Hygrocybe reidii,Honey Waxcap,yes,NO_RECORDED_TOXICITY,Hygrocybe,,,,,
161,2763,Mycena tenerrima,Frosty Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
162,2736,Exidia nucleata,Crystal Brain,yes,NO_RECORDED_TOXICITY,Exidia,,,,,
163,2704,Gymnopus androsaceus,Horsehair Parachute,yes,NO_RECORDED_TOXICITY,Gymnopus,,,,,
164,2684,Helvella crispa,White Saddle,yes,TOXIC,Helvella,,,,,
165,2678,Exidia thuretiana,White Brain,yes,NO_RECORDED_TOXICITY,Exidia,,,,,
166,2645,Ampulloclitocybe clavipes,Club Foot,yes,TOXIC,Ampulloclitocybe,,"a Clitocybe by any other name, and the genus contains the muscarine species",,,
167,2636,Mycena sanguinolenta,Bleeding Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
168,2630,Psilocybe semilanceata,Liberty Cap,yes,TOXIC,Psilocybe,,,,,
169,2610,Crepidotus cesatii,Roundspored Oysterling,yes,NO_RECORDED_TOXICITY,Crepidotus,,,,,
170,2606,Lactarius torminosus,Woolly Milkcap,yes,TOXIC,Lactarius,,,,,
171,2605,Bulgaria inquinans,Black Bulgar,yes,NO_RECORDED_TOXICITY,Bulgaria,,,,,
172,2578,Chalciporus piperatus,Peppery Bolete,yes,TOXIC,Chalciporus,,,,,
173,2577,Phlebia tremellosa,Jelly Rot,yes,NO_RECORDED_TOXICITY,Phlebia,,,,,
174,2576,Coprinopsis lagopus,Hare'sfoot Inkcap,yes,NO_RECORDED_TOXICITY,Coprinopsis,,,,,
175,2576,Suillus luteus,Slippery Jack,yes,NO_RECORDED_TOXICITY,Suillus,,,,,
176,2565,Russula emetica,The Sickener,yes,TOXIC,Russula,,,,,
177,2501,Clavulina cinerea,Grey Coral,yes,NO_RECORDED_TOXICITY,Clavulina,,,,,
178,2465,Fuscoporia ferrea,Cinnamon Porecrust,yes,NO_RECORDED_TOXICITY,Fuscoporia,,,,,
179,2462,Pluteus salicinus,Willow Shield,yes,TOXIC,Pluteus,,,,,
180,2457,Gliophorus laetus,Heath Waxcap,yes,NO_RECORDED_TOXICITY,Gliophorus,,,,,
181,2456,Pseudosperma rimosum,Split Fibrecap,yes,SERIOUS,Pseudosperma,Pseudosperma rimosum,,,,
182,2451,Calocybe gambosa,St George's Mushroom,yes,NO_RECORDED_TOXICITY,Calocybe,,,,,
183,2445,Postia caesia,Conifer Blueing Bracket,yes,NO_RECORDED_TOXICITY,Postia,,,,,
184,2440,Mycena rosea,Rosy Bonnet,yes,TOXIC,Mycena,,,,,
185,2429,Agaricus sylvaticus,Blushing Wood Mushroom,yes,NO_RECORDED_TOXICITY,Agaricus,,,,,
186,2425,Amanita excelsa,Grey Spotted Amanita,yes,NO_RECORDED_TOXICITY,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
187,2412,Panellus stipticus,Bitter Oysterling,yes,TOXIC,Panellus,,,,,
188,2409,Leotia lubrica,Jellybaby,yes,TOXIC,Leotia,,,,,
189,2374,Psathyrella corrugis,Red Edge Brittlestem,yes,NO_RECORDED_TOXICITY,Psathyrella,,,,,
190,2372,Atheniella flavoalba,Ivory Bonnet,yes,NO_RECORDED_TOXICITY,Atheniella,,,,,
191,2333,Clavulina rugosa,Wrinkled Club,yes,NO_RECORDED_TOXICITY,Clavulina,,,,,
192,2327,Gliophorus irrigatus,Slimy Waxcap,yes,NO_RECORDED_TOXICITY,Gliophorus,,,,,
193,2323,Infundibulicybe geotropa,Trooping Funnel,yes,TOXIC,Infundibulicybe,,likewise -- a big funnel Clitocybe,,,
194,2322,Lycoperdon excipuliforme,Pestle Puffball,yes,NO_RECORDED_TOXICITY,Lycoperdon,,,,,
195,2320,Panaeolus acuminatus,Dewdrop Mottlegill,yes,TOXIC,Panaeolus,,,,,
196,2319,Scutellinia scutellata,Common Eyelash,yes,NO_RECORDED_TOXICITY,Scutellinia,,,,,
197,2291,Suillus bovinus,Bovine Bolete,yes,NO_RECORDED_TOXICITY,Suillus,,,,,
198,2269,Lactarius pyrogalus,Fiery Milkcap,yes,TOXIC,Lactarius,,,,,
199,2260,Vuilleminia comedens,Waxy Crust,yes,NO_RECORDED_TOXICITY,Vuilleminia,,,,,
200,2225,Datronia mollis,Common Mazegill,yes,NO_RECORDED_TOXICITY,Datronia,,,,,
201,2211,Lactarius vietus,,no,,Lactarius,,,,,
202,2208,Armillaria gallica,,no,,Armillaria,,,,,
203,2208,Postia subcaesia,,no,,Postia,,,,,
204,2204,Russula sardonia,,no,,Russula,,,,,
205,2170,Collybia odora,,no,,Collybia,,,,,
206,2170,Lycoperdon pratense,,no,,Lycoperdon,,,,,
207,2169,Entoloma sericeum,Silky Pinkgill,yes,TOXIC,Entoloma,Entoloma rhodopolium; Entoloma sinuatum,,,,
208,2161,Postia stiptica,,no,,Postia,,,,,
209,2143,Russula aeruginea,,no,,Russula,,,,,
210,2135,Mensularia radiata,,no,,Mensularia,,,,,
211,2118,Phaeolus schweinitzii,,no,,Phaeolus,,,,,
212,2117,Stereum sanguinolentum,,no,,Stereum,,,,,
213,2107,Hydnoporia corrugata,,no,,Hydnoporia,,,,,
214,2103,Polyporus badius,,no,,Polyporus,,,,,
215,2100,Aleuria aurantia,,no,,Aleuria,,,,,
216,2098,Xylaria longipes,,no,,Xylaria,,,,,
217,2082,Skeletocutis semipileata,,no,,Skeletocutis,,,,,
218,2073,Daedalea quercina,,no,,Daedalea,,,,,
219,2072,Cantharellus tubaeformis,,no,,Cantharellus,,,,,
220,2072,Mycena acicula,,no,,Mycena,,,,,
221,2068,Laccaria proxima,,no,,Laccaria,,,,,
222,2035,Gymnopilus junonius,,no,,Gymnopilus,,,,,
223,1998,Leccinum versipelle,,no,,Leccinum,,,,,
224,1997,Porpolomopsis calyptriformis,,no,,Porpolomopsis,,,,,
225,1975,Sarcoscypha austriaca,Scarlet Elfcup,yes,NO_RECORDED_TOXICITY,Sarcoscypha,,,,,
226,1974,Amanita phalloides,Death Cap,yes,DEADLY,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
227,1960,Tricholoma sulphureum,Sulphur Knight,yes,TOXIC,Tricholoma,Tricholoma equestre; Tricholoma pardinum; Tricholoma terreum,,,,
228,1951,Melanoleuca polioleuca,,no,,Melanoleuca,,,,,
229,1917,Mutinus caninus,,no,,Mutinus,,,,,
230,1910,Biscogniauxia nummularia,,no,,Biscogniauxia,,,,,
231,1906,Peniophora lycii,,no,,Peniophora,,,,,
232,1900,Lactarius camphoratus,,no,,Lactarius,,,,,
233,1886,Agaricus arvensis,Horse Mushroom,yes,NO_RECORDED_TOXICITY,Agaricus,,,,,
234,1884,Clitocybe metachroa,Twotone Funnel,yes,TOXIC,Clitocybe,Clitocybe dealbata; Clitocybe rivulosa,,,,
235,1880,Auricularia mesenterica,,no,,Auricularia,,,,,
236,1873,Rickenella swartzii,,no,,Rickenella,,,,,
237,1867,Russula claroflava,,no,,Russula,,,,,
238,1842,Collybia rivulosa,,no,,Collybia,,,,,
239,1818,Agaricus sylvicola,,no,,Agaricus,,,,,
240,1806,Cuphophyllus russocoriaceus,,no,,Cuphophyllus,,,,,
241,1789,Lactifluus vellereus,,no,,Lactifluus,,,,,
242,1780,Inonotus hispidus,,no,,Inonotus,,,,,
243,1778,Entoloma rhodopolium,Wood Pinkgill,yes,SERIOUS,Entoloma,Entoloma rhodopolium; Entoloma sinuatum,,,,
244,1773,Amanita vaginata,Grisette,yes,TOXIC,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
245,1773,Mycena aetites,,no,,Mycena,,,,,
246,1753,Russula parazurea,,no,,Russula,,,,,
247,1751,Phaeotremella foliacea,,no,,Phaeotremella,,,,,
248,1749,Lactarius deliciosus,Saffron Milkcap,yes,NO_RECORDED_TOXICITY,Lactarius,,,,,
249,1738,Lactarius pubescens,,no,,Lactarius,,,,,
250,1728,Baeospora myosura,,no,,Baeospora,,,,,
251,1719,Helvella lacunosa,,no,,Helvella,,,,,
252,1708,Stropharia aeruginosa,,no,,Stropharia,,,,,
253,1689,Lyophyllum decastes,,no,,Lyophyllum,,,,,
254,1685,Thelephora terrestris,,no,,Thelephora,,,,,
255,1663,Fuscoporia ferruginosa,,no,,Fuscoporia,,,,,
256,1662,Stereum subtomentosum,,no,,Stereum,,,,,
257,1650,Hebeloma mesophaeum,,no,,Hebeloma,,,,,
258,1646,Hypoxylon rubiginosum,,no,,Hypoxylon,,,,,
259,1638,Russula delica,,no,,Russula,,,,,
260,1626,Coniophora puteana,,no,,Coniophora,,,,,
261,1623,Lentinus brumalis,,no,,Lentinus,,,,,
262,1623,Tricholoma terreum,Grey Knight,yes,SERIOUS,Tricholoma,Tricholoma equestre; Tricholoma pardinum; Tricholoma terreum,,,,
263,1609,Panaeolus semiovatus,,no,,Panaeolus,,,,,
264,1605,Russula xerampelina,,no,,Russula,,,,,
265,1592,Volvopluteus gloiocephalus,Stubble Rosegill,yes,TOXIC,Volvopluteus,,,,,
266,1585,Pholiota gummosa,,no,,Pholiota,,,,,
267,1583,Xerocomellus pruinatus,,no,,Xerocomellus,,,,,
268,1578,Scleroderma areolatum,,no,,Scleroderma,,,,,
