priority,toxicity,scientific_name,common_name,character,question,permitted_states,CURRENT_states,confused_with,QA_agree_yes_no,QA_corrected_states,QA_notes,QA_BY
1,DEADLY,Clitocybe rivulosa,Fool's Funnel; Ivory Funnel; Sweating Mushroom,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Marasmius oreades; Calocybe gambosa; Clitopilus prunulus,,,,
1,DEADLY,Cortinarius orellanus,Fool's Webcap,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,Orange;Brown;Red,Cortinarius rubellus; Cantharellus cibarius; Lepista nuda,,,,
1,DEADLY,Cortinarius orellanus,Fool's Webcap,Cobwebby veil,Is there a cobwebby veil between the cap edge and the stem?,"Yes, cobwebby;No;Can't tell","Yes, cobwebby",Cortinarius rubellus; Cantharellus cibarius; Lepista nuda,,,,
1,DEADLY,Cortinarius orellanus,Fool's Webcap,Underside of the cap,What is under the cap?,Blade-like gills;Blunt forking ridges;Pores or tubes;Spines or teeth;Smooth or wrinkled,Blade-like gills,Cortinarius rubellus; Cantharellus cibarius; Lepista nuda,,,,
1,DEADLY,Cortinarius orellanus,Fool's Webcap,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,Oak;Beech;Mixed broadleaf,Cortinarius rubellus; Cantharellus cibarius; Lepista nuda,,,,
1,DEADLY,Cortinarius orellanus,Fool's Webcap,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown,Cortinarius rubellus; Cantharellus cibarius; Lepista nuda,,,,
1,DEADLY,Cortinarius rubellus,Deadly Webcap,Cobwebby veil,Is there a cobwebby veil between the cap edge and the stem?,"Yes, cobwebby;No;Can't tell","Yes, cobwebby",Cantharellus cibarius; Lactarius deliciosus; Armillaria mellea,,,,
1,DEADLY,Cortinarius rubellus,Deadly Webcap,Underside of the cap,What is under the cap?,Blade-like gills;Blunt forking ridges;Pores or tubes;Spines or teeth;Smooth or wrinkled,Blade-like gills,Cantharellus cibarius; Lactarius deliciosus; Armillaria mellea,,,,
1,DEADLY,Cortinarius rubellus,Deadly Webcap,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,Pine or spruce,Cantharellus cibarius; Lactarius deliciosus; Armillaria mellea,,,,
1,DEADLY,Cortinarius rubellus,Deadly Webcap,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown,Cantharellus cibarius; Lactarius deliciosus; Armillaria mellea,,,,
1,DEADLY,Galerina marginata,Funeral Bell,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,Firm skirt-like ring;Faint zone only;No ring,Kuehneromyces mutabilis; Armillaria mellea; Hypholoma fasciculare; Pholiota squarrosa,,,,
1,DEADLY,Galerina marginata,Funeral Bell,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown,Kuehneromyces mutabilis; Armillaria mellea; Hypholoma fasciculare; Pholiota squarrosa,,,,
1,DEADLY,Galerina marginata,Funeral Bell,Stem surface,What does the stem look like below the ring?,Snakeskin-patterned;Scaly or shaggy;Smooth;Netted or with a raised mesh;Fibrous,Fibrous;Smooth,Kuehneromyces mutabilis; Armillaria mellea; Hypholoma fasciculare; Pholiota squarrosa,,,,
1,DEADLY,Galerina marginata,Funeral Bell,What it is growing on,What is it growing on or out of?,Soil or leaf litter;Dead wood or a stump;A living tree;Grass or lawn;Dung;Moss,Dead wood or a stump,Kuehneromyces mutabilis; Armillaria mellea; Hypholoma fasciculare; Pholiota squarrosa,,,,
1,DEADLY,Gyromitra esculenta,False Morel; Turban Fungus,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Brain-like or folded,Morchella esculenta,,,,
1,DEADLY,Gyromitra esculenta,False Morel; Turban Fungus,Inside,Cut it in half from top to bottom. What does the inside look like?,Completely hollow;Chambered or cottony;Solid and pure white;Solid and dark;Shows a developing cap and gills,Chambered or cottony,Morchella esculenta,,,,
1,DEADLY,Gyromitra esculenta,False Morel; Turban Fungus,Time of year,When did you find it?,Spring;Summer;Autumn;Winter,Spring;Summer,Morchella esculenta,,,,
1,DEADLY,Inocybe erubescens,Deadly Fibrecap,Bruising,Does it change colour when cut or rubbed?,"Yellow, especially at the stem base;Red or pink;Blue;Green;Brown;No change",Red or pink,Calocybe gambosa; Agaricus campestris,,,,
1,DEADLY,Inocybe erubescens,Deadly Fibrecap,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Fibrous,Calocybe gambosa; Agaricus campestris,,,,
1,DEADLY,Inocybe erubescens,Deadly Fibrecap,Smell,What does it smell like?,Pleasantly mushroomy;Aniseed or almond;Apricot or fruity;Fresh bread dough;Radish;Raw potato or earthy;Ink or chemicals;Rotting or foul;Nothing much,,Calocybe gambosa; Agaricus campestris,,,,
1,DEADLY,Inocybe erubescens,Deadly Fibrecap,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown;Chocolate or purple-brown,Calocybe gambosa; Agaricus campestris,,,,
1,DEADLY,Lepiota brunneoincarnata,Deadly Dapperling,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Scaly;Fibrous;Smooth and dry,Marasmius oreades; Agaricus campestris; Macrolepiota procera,,,,
1,DEADLY,Lepiota brunneoincarnata,Deadly Dapperling,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,No trees nearby;Mixed broadleaf,Marasmius oreades; Agaricus campestris; Macrolepiota procera,,,,
1,DEADLY,Lepiota brunneoincarnata,Deadly Dapperling,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,Firm skirt-like ring;Faint zone only;No ring,Marasmius oreades; Agaricus campestris; Macrolepiota procera,,,,
1,DEADLY,Lepiota brunneoincarnata,Deadly Dapperling,Size,How wide is the cap?,Under 2 cm;2-5 cm;5-10 cm;10-20 cm;Over 20 cm,Under 2 cm;2-5 cm;5-10 cm,Marasmius oreades; Agaricus campestris; Macrolepiota procera,,,,
1,DEADLY,Lepiota brunneoincarnata,Deadly Dapperling,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Marasmius oreades; Agaricus campestris; Macrolepiota procera,,,,
1,DEADLY,Lepiota subincarnata,Fatal Dapperling,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Scaly;Fibrous;Smooth and dry,Lepiota brunneoincarnata; Lepiota cristata; Marasmius oreades; Agaricus campestris,,,,
1,DEADLY,Lepiota subincarnata,Fatal Dapperling,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,No trees nearby;Mixed broadleaf,Lepiota brunneoincarnata; Lepiota cristata; Marasmius oreades; Agaricus campestris,,,,
1,DEADLY,Lepiota subincarnata,Fatal Dapperling,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,Firm skirt-like ring;Faint zone only;No ring,Lepiota brunneoincarnata; Lepiota cristata; Marasmius oreades; Agaricus campestris,,,,
1,DEADLY,Lepiota subincarnata,Fatal Dapperling,Size,How wide is the cap?,Under 2 cm;2-5 cm;5-10 cm;10-20 cm;Over 20 cm,Under 2 cm;2-5 cm;5-10 cm,Lepiota brunneoincarnata; Lepiota cristata; Marasmius oreades; Agaricus campestris,,,,
1,DEADLY,Lepiota subincarnata,Fatal Dapperling,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Lepiota brunneoincarnata; Lepiota cristata; Marasmius oreades; Agaricus campestris,,,,
2,SERIOUS,Amanita pantherina,Panther Cap,Bruising,Does it change colour when cut or rubbed?,"Yellow, especially at the stem base;Red or pink;Blue;Green;Brown;No change",No change,Amanita rubescens; Amanita muscaria,,,,
2,SERIOUS,Amanita pantherina,Panther Cap,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,Brown;Grey,Amanita rubescens; Amanita muscaria,,,,
2,SERIOUS,Amanita pantherina,Panther Cap,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Scaly;Smooth and dry,Amanita rubescens; Amanita muscaria,,,,
2,SERIOUS,Amanita pantherina,Panther Cap,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,Firm skirt-like ring,Amanita rubescens; Amanita muscaria,,,,
2,SERIOUS,Amanita pantherina,Panther Cap,Base of the stem,Dig up the very base of the stem. Is there a cup or bag around it?,Clear cup or sac;Swollen but no cup;Neither;I cut it off,Swollen but no cup,Amanita rubescens; Amanita muscaria,,,,
2,SERIOUS,Entoloma rhodopolium,Wood Pinkgill,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,Grey;Brown,Entoloma sinuatum; Entoloma sericeum; Clitopilus prunulus; Clitocybe nebularis,,,,
2,SERIOUS,Entoloma rhodopolium,Wood Pinkgill,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White;Pink,Entoloma sinuatum; Entoloma sericeum; Clitopilus prunulus; Clitocybe nebularis,,,,
2,SERIOUS,Entoloma rhodopolium,Wood Pinkgill,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,Beech;Oak;Mixed broadleaf,Entoloma sinuatum; Entoloma sericeum; Clitopilus prunulus; Clitocybe nebularis,,,,
2,SERIOUS,Entoloma rhodopolium,Wood Pinkgill,Smell,What does it smell like?,Pleasantly mushroomy;Aniseed or almond;Apricot or fruity;Fresh bread dough;Radish;Raw potato or earthy;Ink or chemicals;Rotting or foul;Nothing much,Raw potato or earthy,Entoloma sinuatum; Entoloma sericeum; Clitopilus prunulus; Clitocybe nebularis,,,,
2,SERIOUS,Entoloma rhodopolium,Wood Pinkgill,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Pink,Entoloma sinuatum; Entoloma sericeum; Clitopilus prunulus; Clitocybe nebularis,,,,
2,SERIOUS,Entoloma sinuatum,Livid Pinkgill; Livid Entoloma,How the gills meet the stem,How do the gills meet the stem?,"Running down the stem;Squarely attached;Notched just before the stem;Free, not touching the stem",Notched just before the stem;Squarely attached,Clitopilus prunulus; Calocybe gambosa; Agaricus arvensis,,,,
2,SERIOUS,Entoloma sinuatum,Livid Pinkgill; Livid Entoloma,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White;Yellow or green;Pink,Clitopilus prunulus; Calocybe gambosa; Agaricus arvensis,,,,
2,SERIOUS,Entoloma sinuatum,Livid Pinkgill; Livid Entoloma,Smell,What does it smell like?,Pleasantly mushroomy;Aniseed or almond;Apricot or fruity;Fresh bread dough;Radish;Raw potato or earthy;Ink or chemicals;Rotting or foul;Nothing much,Fresh bread dough,Clitopilus prunulus; Calocybe gambosa; Agaricus arvensis,,,,
2,SERIOUS,Entoloma sinuatum,Livid Pinkgill; Livid Entoloma,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Pink,Clitopilus prunulus; Calocybe gambosa; Agaricus arvensis,,,,
2,SERIOUS,Inocybe geophylla,White Fibrecap; Lilac Fibrecap,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,White or cream;Yellow;Purple,Inocybe erubescens; Clitocybe rivulosa; Amanita virosa; Marasmius oreades; Laccaria amethystina; Mycena pura,,,,
2,SERIOUS,Inocybe geophylla,White Fibrecap; Lilac Fibrecap,Cap shape,What shape is the cap?,Domed;Flat;Funnel-shaped;Cylindrical;Conical;Irregular,Conical;Domed,Inocybe erubescens; Clitocybe rivulosa; Amanita virosa; Marasmius oreades; Laccaria amethystina; Mycena pura,,,,
2,SERIOUS,Inocybe geophylla,White Fibrecap; Lilac Fibrecap,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Fibrous;Smooth and dry,Inocybe erubescens; Clitocybe rivulosa; Amanita virosa; Marasmius oreades; Laccaria amethystina; Mycena pura,,,,
2,SERIOUS,Inocybe geophylla,White Fibrecap; Lilac Fibrecap,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White;Brown;Grey,Inocybe erubescens; Clitocybe rivulosa; Amanita virosa; Marasmius oreades; Laccaria amethystina; Mycena pura,,,,
2,SERIOUS,Inocybe geophylla,White Fibrecap; Lilac Fibrecap,Smell,What does it smell like?,Pleasantly mushroomy;Aniseed or almond;Apricot or fruity;Fresh bread dough;Radish;Raw potato or earthy;Ink or chemicals;Rotting or foul;Nothing much,Raw potato or earthy,Inocybe erubescens; Clitocybe rivulosa; Amanita virosa; Marasmius oreades; Laccaria amethystina; Mycena pura,,,,
2,SERIOUS,Inocybe geophylla,White Fibrecap; Lilac Fibrecap,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown,Inocybe erubescens; Clitocybe rivulosa; Amanita virosa; Marasmius oreades; Laccaria amethystina; Mycena pura,,,,
2,SERIOUS,Paxillus involutus,Brown Roll-rim,Bruising,Does it change colour when cut or rubbed?,"Yellow, especially at the stem base;Red or pink;Blue;Green;Brown;No change",Brown;Red or pink,Lactarius deliciosus; Clitocybe rivulosa,,,,
2,SERIOUS,Paxillus involutus,Brown Roll-rim,Cap edge,What is the edge of the cap like?,Strongly inrolled;Shaggy or woolly;Straight;Upturned,Strongly inrolled,Lactarius deliciosus; Clitocybe rivulosa,,,,
2,SERIOUS,Paxillus involutus,Brown Roll-rim,How the gills meet the stem,How do the gills meet the stem?,"Running down the stem;Squarely attached;Notched just before the stem;Free, not touching the stem",Running down the stem,Lactarius deliciosus; Clitocybe rivulosa,,,,
2,SERIOUS,Paxillus involutus,Brown Roll-rim,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown;Chocolate or purple-brown,Lactarius deliciosus; Clitocybe rivulosa,,,,
2,SERIOUS,Pleurocybella porrigens,Angel's Wings,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Pleurotus ostreatus; Crepidotus mollis,,,,
2,SERIOUS,Pleurocybella porrigens,Angel's Wings,Stem,"Is there a stem, and where does it join the cap?",Central stem;Off-centre stem;Stem at the side;No stem,No stem;Stem at the side,Pleurotus ostreatus; Crepidotus mollis,,,,
2,SERIOUS,Pleurocybella porrigens,Angel's Wings,What it is growing on,What is it growing on or out of?,Soil or leaf litter;Dead wood or a stump;A living tree;Grass or lawn;Dung;Moss,Dead wood or a stump,Pleurotus ostreatus; Crepidotus mollis,,,,
2,SERIOUS,Pleurocybella porrigens,Angel's Wings,Texture,What does it feel like?,Gelatinous and rubbery;Firm and fleshy;Woody;Soft and fragile,Soft and fragile;Firm and fleshy,Pleurotus ostreatus; Crepidotus mollis,,,,
2,SERIOUS,Pseudosperma rimosum,Split Fibrecap,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,Yellow;Brown;White or cream,Inocybe erubescens; Inocybe geophylla; Hebeloma crustuliniforme; Agaricus campestris; Marasmius oreades,,,,
2,SERIOUS,Pseudosperma rimosum,Split Fibrecap,Cap shape,What shape is the cap?,Domed;Flat;Funnel-shaped;Cylindrical;Conical;Irregular,Conical;Domed,Inocybe erubescens; Inocybe geophylla; Hebeloma crustuliniforme; Agaricus campestris; Marasmius oreades,,,,
2,SERIOUS,Pseudosperma rimosum,Split Fibrecap,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Fibrous,Inocybe erubescens; Inocybe geophylla; Hebeloma crustuliniforme; Agaricus campestris; Marasmius oreades,,,,
2,SERIOUS,Pseudosperma rimosum,Split Fibrecap,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White;Brown;Grey,Inocybe erubescens; Inocybe geophylla; Hebeloma crustuliniforme; Agaricus campestris; Marasmius oreades,,,,
2,SERIOUS,Pseudosperma rimosum,Split Fibrecap,Smell,What does it smell like?,Pleasantly mushroomy;Aniseed or almond;Apricot or fruity;Fresh bread dough;Radish;Raw potato or earthy;Ink or chemicals;Rotting or foul;Nothing much,Raw potato or earthy,Inocybe erubescens; Inocybe geophylla; Hebeloma crustuliniforme; Agaricus campestris; Marasmius oreades,,,,
2,SERIOUS,Pseudosperma rimosum,Split Fibrecap,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,Rust or cinnamon brown,Inocybe erubescens; Inocybe geophylla; Hebeloma crustuliniforme; Agaricus campestris; Marasmius oreades,,,,
2,SERIOUS,Rubroboletus satanas,Devil's Bolete,Bruising,Does it change colour when cut or rubbed?,"Yellow, especially at the stem base;Red or pink;Blue;Green;Brown;No change",Blue,Boletus edulis,,,,
2,SERIOUS,Rubroboletus satanas,Devil's Bolete,Pore colour,What colour are the pores underneath?,White or cream;Yellow;Olive;Red or orange;Pink,Red or orange,Boletus edulis,,,,
2,SERIOUS,Rubroboletus satanas,Devil's Bolete,Stem surface,What does the stem look like below the ring?,Snakeskin-patterned;Scaly or shaggy;Smooth;Netted or with a raised mesh;Fibrous,Netted or with a raised mesh,Boletus edulis,,,,
2,SERIOUS,Tricholoma equestre,Yellow Knight; Man on Horseback,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,Yellow or green,Amanita phalloides; Russula ochroleuca,,,,
2,SERIOUS,Tricholoma equestre,Yellow Knight; Man on Horseback,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,Pine or spruce,Amanita phalloides; Russula ochroleuca,,,,
2,SERIOUS,Tricholoma equestre,Yellow Knight; Man on Horseback,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,No ring,Amanita phalloides; Russula ochroleuca,,,,
2,SERIOUS,Tricholoma equestre,Yellow Knight; Man on Horseback,Base of the stem,Dig up the very base of the stem. Is there a cup or bag around it?,Clear cup or sac;Swollen but no cup;Neither;I cut it off,Neither,Amanita phalloides; Russula ochroleuca,,,,
2,SERIOUS,Tricholoma pardinum,Leopard Knight,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Scaly;Fibrous,Tricholoma equestre; Calocybe gambosa; Clitocybe nebularis,,,,
2,SERIOUS,Tricholoma pardinum,Leopard Knight,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White,Tricholoma equestre; Calocybe gambosa; Clitocybe nebularis,,,,
2,SERIOUS,Tricholoma pardinum,Leopard Knight,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,Beech;Mixed broadleaf,Tricholoma equestre; Calocybe gambosa; Clitocybe nebularis,,,,
2,SERIOUS,Tricholoma pardinum,Leopard Knight,Smell,What does it smell like?,Pleasantly mushroomy;Aniseed or almond;Apricot or fruity;Fresh bread dough;Radish;Raw potato or earthy;Ink or chemicals;Rotting or foul;Nothing much,Fresh bread dough,Tricholoma equestre; Calocybe gambosa; Clitocybe nebularis,,,,
2,SERIOUS,Tricholoma pardinum,Leopard Knight,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Tricholoma equestre; Calocybe gambosa; Clitocybe nebularis,,,,
2,SERIOUS,Tricholoma terreum,Grey Knight,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,Grey,Tricholoma pardinum; Tricholoma saponaceum; Tricholoma equestre,,,,
2,SERIOUS,Tricholoma terreum,Grey Knight,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Fibrous,Tricholoma pardinum; Tricholoma saponaceum; Tricholoma equestre,,,,
2,SERIOUS,Tricholoma terreum,Grey Knight,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White;Grey,Tricholoma pardinum; Tricholoma saponaceum; Tricholoma equestre,,,,
2,SERIOUS,Tricholoma terreum,Grey Knight,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,Pine or spruce,Tricholoma pardinum; Tricholoma saponaceum; Tricholoma equestre,,,,
2,SERIOUS,Tricholoma terreum,Grey Knight,Size,How wide is the cap?,Under 2 cm;2-5 cm;5-10 cm;10-20 cm;Over 20 cm,2-5 cm;5-10 cm,Tricholoma pardinum; Tricholoma saponaceum; Tricholoma equestre,,,,
